TrainerId,TrainerNumberOfPriorRaces,TrainerWinPercentage,TrainerTop3Percentage,TrainerAvgRelFinishingPosition
12195,14.0,0.0,0.21428571428571427,0.6000261643118786
12210,5.0,0.0,0.2,0.6244444444444444
12225,233.0,0.0815450643776824,0.296137339055794,0.5587993460325066
12252,6.0,0.16666666666666666,0.5,0.48507395382395385
12305,8.0,0.25,0.625,0.5205357142857143
12314,14.0,0.0,0.42857142857142855,0.4202817024245596
12317,22.0,0.09090909090909091,0.45454545454545453,0.5324675324675325
12379,1.0,0.0,0.0,0.7857142857142857
12425,12.0,0.0,0.3333333333333333,0.6100829725829725
12465,448.0,0.09821428571428571,0.33705357142857145,0.5701957605275346
12536,3.0,0.3333333333333333,0.3333333333333333,0.5863247863247864
12538,10.0,0.0,0.2,0.6475793650793651
12601,196.0,0.11224489795918367,0.42346938775510207,0.5254995622607141
12641,12.0,0.08333333333333333,0.3333333333333333,0.5876498501498502
12681,159.0,0.05660377358490566,0.20125786163522014,0.5709640028036255
12699,24.0,0.08333333333333333,0.375,0.4735472282347282
12712,8.0,0.0,0.5,0.3592948717948718
12739,242.0,0.1115702479338843,0.3925619834710744,0.4534728242372871
12762,275.0,0.10181818181818182,0.33454545454545453,0.4949294140203231
12767,304.0,0.08552631578947369,0.22697368421052633,0.5595439465505254
12772,16.0,0.1875,0.25,0.5118317446442446
12776,4.0,0.0,0.75,0.26785714285714285
12787,240.0,0.08333333333333333,0.225,0.5539370467495467
12791,1.0,0.0,0.0,0.875
12807,14.0,0.0,0.21428571428571427,0.6444607971393684
12816,36.0,0.05555555555555555,0.3333333333333333,0.5913825757575757
12846,90.0,0.1111111111111111,0.4222222222222222,0.3633232149824222
12847,66.0,0.07575757575757576,0.25757575757575757,0.5587422322962712
12850,14.0,0.14285714285714285,0.14285714285714285,0.6363422933275874
12871,1.0,0.0,0.0,0.7777777777777778
12872,29.0,0.2413793103448276,0.5172413793103449,0.5175498830671245
12900,29.0,0.06896551724137931,0.3448275862068966,0.3943010167655198
12904,63.0,0.031746031746031744,0.09523809523809523,0.7812077693030074
12906,37.0,0.10810810810810811,0.43243243243243246,0.37989429312958717
12938,1.0,0.0,0.0,0.8
12947,56.0,0.08928571428571429,0.30357142857142855,0.5269771647003788
12955,18.0,0.0,0.05555555555555555,0.7989631510464844
12957,2.0,0.0,0.5,0.3541666666666667
12960,2.0,0.0,0.5,0.49603174603174605
12967,6.0,0.16666666666666666,0.16666666666666666,0.8075396825396824
13003,56.0,0.16071428571428573,0.5535714285714285,0.3918564570350284
13008,6.0,0.0,0.16666666666666666,0.48620388326270686
13010,14.0,0.0,0.14285714285714285,0.6119189342403628
13067,10.0,0.1,0.3,0.6562992889463478
13077,1.0,0.0,0.0,0.5333333333333333
13082,7.0,0.0,0.2857142857142857,0.6215213358070502
13084,99.0,0.050505050505050504,0.3939393939393939,0.4004792653774735
13116,142.0,0.15492957746478872,0.5774647887323945,0.4340598268706946
13126,45.0,0.044444444444444446,0.17777777777777778,0.6916720316720316
13130,51.0,0.09803921568627451,0.3333333333333333,0.4529587219165225
13164,17.0,0.058823529411764705,0.5882352941176471,0.30637967856825987
13176,100.0,0.26,0.65,0.3449815070550365
13180,4.0,0.0,0.0,0.7222222222222222
13181,2.0,0.0,1.0,0.0
13185,4.0,0.0,0.75,0.2857142857142857
13210,3.0,0.3333333333333333,0.3333333333333333,0.3946275946275946
13221,1.0,0.0,0.0,1.0
13224,1.0,0.0,0.0,1.0
13243,27.0,0.037037037037037035,0.5555555555555555,0.5088183421516754
13289,1.0,0.0,1.0,0.2857142857142857
13362,2.0,0.0,0.5,0.4358974358974359
13372,1.0,0.0,0.0,0.9090909090909091
13421,1.0,0.0,0.0,0.6666666666666666
13433,39.0,0.05128205128205128,0.48717948717948717,0.3643713012134065
13450,17.0,0.11764705882352941,0.4117647058823529,0.5081379404908817
13451,7.0,0.14285714285714285,0.42857142857142855,0.6705215419501133
